timestamp,symbol,event_type,side,entry_price,exit_price,current_price,quantity,position_size,unrealized_pnl,realized_pnl,fees,leverage,status,reason,rejection_reason,executed,market_value,cost_basis,run_capital,open_positions_count,notes
2025-11-02T00:02:01.153Z,AVAXUSDT,TRADE_ENTRY,LONG,18.71800000,,18.71800000,213.69804466,213.69804466,0.00000000,0.00000000,1.60000000,20.00,closed,momentum_breakout_v2_15m,,true,,,729.51725612,,"Trade 90f4de54 opened"
2025-11-02T00:17:00.946Z,AVAXUSDT,TRADE_ENTRY,SHORT,18.69300000,,18.69300000,213.69804466,213.69804466,0.00000000,0.00000000,1.59786302,20.00,closed,momentum_loss,,true,,,729.51725612,,"Trade 714a4a95 opened"
2025-11-02T01:17:00.683Z,AVAXUSDT,TRADE_ENTRY,LONG,18.67400000,,18.67400000,213.69804466,213.69804466,0.00000000,0.00000000,1.59623891,20.00,closed,momentum_loss,,true,,,729.51725612,,"Trade eb88b684 opened"
2025-11-02T14:30:00.838Z,AVAXUSDT,TRADE_EXIT,LONG,18.67400000,18.33000000,18.33000000,213.69804466,,,-82.91484133,1.59623891,20.00,closed,momentum_loss,,true,,,729.51725612,,"Trade eb88b684 closed"
2025-11-02T14:30:00.838Z,AVAXUSDT,TRADE_EXIT,SHORT,18.69300000,18.33000000,18.33000000,213.69804466,,,-82.91484133,1.59786302,20.00,closed,momentum_loss,,true,,,729.51725612,,"Trade 714a4a95 closed"
2025-11-02T14:30:00.838Z,AVAXUSDT,TRADE_EXIT,LONG,18.71800000,18.33000000,18.33000000,213.69804466,,,-82.91484133,1.60000000,20.00,closed,momentum_breakout_v2_15m,,true,,,729.51725612,,"Trade 90f4de54 closed"
2025-11-02T15:02:00.617Z,AVAXUSDT,TRADE_ENTRY,SHORT,18.22500000,,18.22500000,213.69804466,213.69804466,0.00000000,0.00000000,1.55785875,20.00,open,momentum_loss,,true,,,729.51725612,,"Trade b905d237 opened"
2025-11-02T21:54:00.140Z,AVAXUSDT,POSITION_UPDATE,SHORT,18.22500000,,18.31600000,,213.69804466,-19.44652206,,,20.00,open,,,,3914.09338599,194.73234320,729.51725612,,"Position 344af488"
2025-11-02T21:54:00.142Z,AVAXUSDT,POSITION_UPDATE,LONG,18.67400000,,18.31600000,,213.69804466,-76.50389999,,,20.00,open,,,,3914.09338599,199.52986430,729.51725612,,"Position 1f875b2c"
2025-11-02T21:54:00.144Z,AVAXUSDT,POSITION_UPDATE,SHORT,18.69300000,,18.31600000,,213.69804466,80.56416284,,,20.00,open,,,,3914.09338599,199.73287744,729.51725612,,"Position 701fcb77"
